rank,symbol,company_name,avg_mcap_lakhs_jul_dec_2024
675,TDPOWERSYS,TD POWER SYSTEMS LIMITED,650669.9723758171
676,EASEMYTRIP,EASY TRIP PLANNERS LIMITED,647447.3865594682
677,NIITMTS,NIIT LEARNING SYSTEMS LIMITED,646321.36562275
678,BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED,641968.8637439663
679,RALLIS,RALLIS INDIA LIMITED,640959.4293147222
680,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,638663.9273161348
681,CEIGALL,CEIGALL INDIA LIMITED,636677.4152961063
682,JAICORPLTD,JAI CORP LIMITED,636320.2918872024
683,VSTIND,VST INDUSTRIES LIMITED,629053.0830628572
684,NFL,NATIONAL FERTILIZERS LIMITED,624180.4189771429
685,STLTECH,STERLITE TECHNOLOGIES LIMITED,624110.7260724842
686,ICRA,ICRA LIMITED,621557.2767118213
687,PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,621444.3109375397
688,ROLEXRINGS,ROLEX RINGS LIMITED,620957.4457131589
689,AVL,ADITYA VISION LIMITED,619215.2697832433
690,GOCOLORS,GO FASHION (INDIA) LIMITED,618920.238575302
691,UEL,UJAAS ENERGY LIMITED     ,618245.2042424881
692,GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED,614403.838743746
693,LUXIND,LUX INDUSTRIES LIMITED,612237.8260557975
694,PCJEWELLER,PC JEWELLER LIMITED,611415.0848142661
695,GMMPFAUDLR,GMM PFAUDLER LIMITED,609185.0141379681
696,GAEL,GUJARAT AMBUJA EXPORTS LIMITED,608224.9610093017
697,SHAREINDIA,SHARE INDIA SECURITIES LIMITED,607510.3387497222
698,IXIGO,LE TRAVENUES TECHNOLOGY LIMITED,607248.4540504047
699,AGI,AGI GREENPAC LIMITED,607080.4292799606
700,LLOYDSENT,LLOYDS ENTERPRISES LIMITED,601922.9241047257
701,PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED,601739.2020840673
702,PRICOLLTD,PRICOL LIMITED,599349.8481313175
703,GHCL,GHCL LIMITED,596708.1082968811
704,ALLCARGO,ALLCARGO LOGISTICS LIMITED,595837.3852310516
705,JKIL,J.KUMAR INFRAPROJECTS LIMITED,595392.0495576666
706,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,595044.6127214286
707,TI,TILAKNAGAR INDUSTRIES LIMITED,592286.7258756506
708,HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED,591558.6784572979
709,DBCORP,D.B.CORP LIMITED,590489.3620055753
710,SIS,SIS LIMITED,585477.123520381
711,GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED,582695.6058187379
712,RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED,581192.4326750793
713,PTC,PTC INDIA LIMITED,579044.6646503095
714,ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED,576818.307623238
715,SHARDACROP,SHARDA CROPCHEM LIMITED,576159.179622996
716,INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,573209.3678367856
717,AARTIPHARM,AARTI PHARMALABS LIMITED,569859.9345741428
718,RAIN,RAIN INDUSTRIES LIMITED,562985.2743277621
719,CSBBANK,CSB BANK LIMITED,562384.5993966509
720,CYIENTDLM,CYIENT DLM LIMITED,561756.7469761111
721,THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,561473.8933499684
722,BANCOINDIA,BANCO PRODUCTS (I) LIMITED,561214.2254583731
723,JSFB,JANA SMALL FINANCE BANK LIMITED,559893.4655759762
724,JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,554483.0884483332
725,HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED,543682.5119047619
726,MTARTECH,MTAR TECHNOLOGIES LIMITED,540824.0394784362
727,NPST,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,538941.8777142857
728,ORIENTELEC,ORIENT ELECTRIC LIMITED,536187.4881589247
729,MANORAMA,MANORAMA INDUSTRIES LIMITED,532624.4116333333
730,MSTCLTD,MSTC LIMITED,530420.1396825396
731,PAISALO,PAISALO DIGITAL LIMITED,528267.9566351428
732,KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED,525761.4192631231
733,OPTIEMUS,OPTIEMUS INFRACOM LIMITED,523072.67085446813
734,ANUP,THE ANUP ENGINEERING LIMITED,520931.4143853015
735,EIEL,ENVIRO INFRA ENGINEERS LIMITED,518216.4211363636
736,BBL,BHARAT BIJLEE LIMITED,515549.6563682539
737,DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED,511743.3959516826
738,MASFIN,MAS FINANCIAL SERVICES LIMITED,509351.60019460734
739,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,509281.1444627105
740,ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED,507614.06651164696
741,HERITGFOOD,HERITAGE FOODS LIMITED,506683.098952381
742,VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,506166.54703274206
743,KSCL,KAVERI SEED COMPANY LIMITED,502388.2600999957
744,TEAMLEASE,TEAMLEASE SERVICES LIMITED,501345.32639007934
745,CARTRADE,CARTRADE TECH LIMITED,500150.85535019846
746,RBA,RESTAURANT BRANDS ASIA LIMITED,497387.13082630164
747,NEOGEN,NEOGEN CHEMICALS LIMITED,495565.82242873026
748,SKIPPER,SKIPPER LIMITED,492019.06211706373
749,GANECOS,GANESHA ECOSPHERE LIMITED,491885.08025301597
750,VRLLOG,VRL LOGISTICS LIMITED,491717.78975345235
